detailed_work_activity,impact,intermediate_work_activity,element
Share sales-related or market information with colleagues.,0.016815396090574808,Communicate with others about business strategies.,"Communicating with Supervisors, Peers, or Subordinates"
Sharpen cutting or grinding tools.,-0.16097945549855552,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Shovel materials.,-0.07762502856768627,Perform general construction or extraction activities.,Performing General Physical Activities
Signal equipment operators to indicate proper equipment positioning.,-0.21788620284664528,Signal others to coordinate work activities.,"Communicating with Supervisors, Peers, or Subordinates"
Signal others to coordinate vehicle movement.,-0.0732581096439997,Signal others to coordinate work activities.,"Communicating with Supervisors, Peers, or Subordinates"
Signal others to coordinate work activities.,0.002831398315941591,Signal others to coordinate work activities.,"Communicating with Supervisors, Peers, or Subordinates"
Skim impurities from molten metal.,-0.07927295711071114,Prepare industrial materials for processing or use.,Handling and Moving Objects
Slaughter animals.,0.19864787856478117,Process animal carcasses.,Handling and Moving Objects
"Smooth garments with irons, presses, or steamers.",0.2953036324556635,Operate industrial processing or production equipment.,Controlling Machines and Processes
Smooth metal surfaces or edges.,-0.038081929878162946,Smooth surfaces of objects or equipment.,Handling and Moving Objects
Smooth surfaces of objects or equipment.,0.5384732544598712,Smooth surfaces of objects or equipment.,Handling and Moving Objects
Smooth surfaces with abrasive materials or tools.,0.4805144968425741,Smooth surfaces of objects or equipment.,Handling and Moving Objects
Solder parts or connections between parts.,-0.10666174978475462,"Join parts using soldering, welding, or brazing techniques.",Handling and Moving Objects
Solder parts or workpieces.,-0.3210949443110498,"Join parts using soldering, welding, or brazing techniques.",Handling and Moving Objects
Sort forestry or agricultural materials.,-0.19524401294555727,Sort materials or products.,Processing Information
Sort mail.,0.0677155617350369,Sort materials or products.,Processing Information
Sort materials or objects for processing or transport.,-0.06519589848927732,Sort materials or products.,Processing Information
"Sort materials or products for processing, storing, shipping, or grading.",-0.4871639647581403,Sort materials or products.,Processing Information
Sort materials or products.,-0.02810282637432593,Sort materials or products.,Processing Information
Sort recyclable materials.,-0.1483881671131213,Sort materials or products.,Processing Information
Spread concrete or other aggregate mixtures.,0.05859453215802013,Perform general construction or extraction activities.,Performing General Physical Activities
"Spread sand, dirt or other loose materials onto surfaces.",-0.08307247561873865,Perform general construction or extraction activities.,Performing General Physical Activities
Stack finished items for further processing or shipment.,-0.06836208180726011,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Stay informed about current developments in field of specialization.,0.0,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Sterilize food cooking or processing equipment.,0.3246986323545813,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Sterilize medical equipment or instruments.,0.007116230647770561,Clean medical equipment or facilities.,Performing General Physical Activities
Stock medical or patient care supplies.,-0.031089973776336155,Stock supplies or products.,Handling and Moving Objects
Stock products or parts.,-0.012864425144667013,Stock supplies or products.,Handling and Moving Objects
Stock serving stations or dining areas with food or supplies.,-0.08708655467597648,Stock supplies or products.,Handling and Moving Objects
Stock supplies or merchandise.,-0.0011954038222841135,Stock supplies or products.,Handling and Moving Objects
